filename,ctr,title,project,has_face,has_before_after,brightness,saturation,contrast,warm,title_hook,text_density,subject_prominence,medical_trust_signal,hook_strength,before_after_strength,emotional_tension,composition_clarity,thumbnail_legibility,ai_tags,ai_notes
ZSLB-01.jpg,10.75,短鼻 朝天鼻，1支延长鼻尖，抬高鼻背～,注射/朝天鼻,是,否,70,60,75,50,80,40,85,70,75,0,60,80,70,朝天鼻 / 医美 / 注射 / 美容 / 鼻尖 / 整形 / 短鼻 / 效果,封面展示了注射过程，强调了效果和专业性，吸引点击。
ZSLB-02.jpg,27,2026不叨叨|打造妈生立体鼻,注射/妈生立体鼻,是,否,75,60,70,40,80,50,85,70,75,0,60,80,90,医美 / 鼻部 / 注射 / 妈生 / 立体 / 科技 / 美容 / 2026,封面清晰且主题突出，标题吸引人，适合点击
ZSLB-03.jpg,10,不是...不叨叨也能爆改塌鼻子了吗⁉,注射/缩小鼻翼,是,否,70,60,80,50,85,40,75,60,80,0,70,75,85,医美 / 鼻子 / 注射 / 美容 / 改造 / 缩小 / 效果 / 变美,封面标题吸引眼球，突出鼻部改造主题，具有较强的点击潜力。
ZSLB-04.jpg,12,鼻头扁塌|不叨叨爆改立体妈生鼻,注射/塌鼻子,是,是,75,60,80,50,85,40,90,70,80,75,65,85,90,鼻子 / 医美 / 注射 / 改造 / 美容 / 面部 / 效果 / 前后,封面展示了明显的面部特征和改造效果，吸引点击。
ZSLB-05.jpg,10.03,关于注射鼻答疑解惑，快问快答来喽～,注射鼻,是,否,75,60,70,50,80,60,70,65,75,0,50,80,85,注射鼻 / 医美 / 问答 / 美容 / 快速 / 解答 / 疑惑 / 咨询,封面通过清晰的标题和图像吸引用户点击，具有较强的互动性和专业性。
ZSLB-06.jpg,10.85,没山根伪塌鼻，3ml沉浸式注射全流程…,注射鼻,是,否,70,60,50,40,80,20,70,60,75,0,50,65,80,注射 / 鼻部 / 医美 / 美容 / 整形 / 沉浸式 / 全流程 / 效果,封面展示了注射过程，标题吸引人，适合医美主题。
ZSLB-07.jpg,15.5,原来拉出面中真的只需要6ml～,注射鼻,是,是,70,60,75,50,80,30,85,70,75,90,60,80,85,注射 / 鼻部 / 医美 / 效果 / 对比 / 美容 / 面部 / 护理,封面展示了明显的前后对比，吸引用户点击了解效果。
ZSLB-08.jpg,14.55,20min沉浸式体验注射，仅仅需要4支～,注射鼻,是,是,70,60,75,50,80,30,85,70,75,90,60,80,85,注射 / 鼻部 / 医美 / 美容 / 体验 / 效果 / 前后对比 / 快速,封面展示了明显的前后对比，吸引用户点击了解注射效果。
ZSLB-09.jpg,13.01,30min注射鼻全过程～改善矮塌鼻即刻惊艳…,注射鼻,是,否,70,60,75,50,80,30,85,70,75,0,60,80,90,注射鼻 / 医美 / 美容 / 整形 / 鼻子 / 过程 / 改善 / 惊艳,封面展示了注射过程，吸引观众关注医美效果。
ZSLB-10.jpg,8.92,【实录】只需打起鼻小柱，打造T区高级感,注射鼻,是,是,75,60,80,30,85,40,90,70,80,90,60,85,75,鼻部 / 医美 / 注射 / 美容 / T区 / 效果 / 实录 / 高级感,封面展示了明显的前后对比，吸引用户关注鼻部注射效果。
